x,y,covariance
0.25,0.25,"[[1.04895860e-08 2.38173871e-09] [2.38173871e-09 5.26293140e-09]]"
0.25,-0.25,"[[2.00298287e-09 3.28927587e-10] [3.28927587e-10 3.41146015e-09]]"
0.25,0.18,"[[4.77491953e-09 3.91958386e-09] [3.91958386e-09 7.47615773e-09]]"
0.25,-0.18,"[[2.69725727e-09 2.90133761e-09] [2.90133761e-09 3.16133009e-09]]"
0.25,0.23,"[[7.93796024e-09 2.11491298e-09] [2.11491298e-09 6.31017234e-09]]"
0.25,-0.23,"[[2.95867426e-09 5.12648456e-10] [5.12648456e-10 2.75503742e-09]]"
0.25,0.01,"[[1.99741891e-09 4.65309317e-09] [4.65309317e-09 1.12591676e-08]]"
0.25,-0.01,"[[2.31079038e-09 7.04354169e-09] [7.04354169e-09 2.25056145e-08]]"
0.25,0.08,"[[3.13431564e-09 4.56369268e-09] [4.56369268e-09 7.30243485e-09]]"
0.25,-0.08,"[[ 1.90064925e-09 -5.06253389e-09] [-5.06253389e-09  1.39849798e-08]]"
0.25,0.16,"[[5.32504285e-09 4.16867587e-09] [4.16867587e-09 7.08766074e-09]]"
0.25,-0.16,"[[ 4.19565740e-09 -2.98625705e-09] [-2.98625705e-09  3.64370423e-08]]"
0.25,0.05,"[[2.84434872e-09 5.43865045e-09] [5.43865045e-09 1.04370190e-08]]"
0.25,-0.05,"[[ 2.50849011e-09 -1.17524371e-08] [-1.17524371e-08  5.55961619e-08]]"
0.25,0.1,"[[3.56453082e-09 4.62459277e-09] [4.62459277e-09 7.27294589e-09]]"
0.25,-0.1,"[[ 2.09084368e-09 -5.33584956e-09] [-5.33584956e-09  1.41905212e-08]]"
0.25,0.03,"[[2.44620952e-09 4.80857027e-09] [4.80857027e-09 9.52458312e-09]]"
0.25,-0.03,"[[1.83493666e-08 2.44390996e-07] [2.44390996e-07 1.07517222e-05]]"
0.25,0.12,"[[3.33789385e-09 4.09456061e-09] [4.09456061e-09 6.84805440e-09]]"
0.25,-0.12,"[[ 1.90042102e-09 -5.22986243e-09] [-5.22986243e-09  1.45801018e-08]]"
0.25,0.21,"[[5.52950151e-09 3.47577989e-09] [3.47577989e-09 6.93318486e-09]]"
0.25,-0.21,"[[2.76597614e-09 8.99039233e-10] [8.99039233e-10 1.38386221e-09]]"
0.25,0.14,"[[5.35608855e-09 5.81271206e-09] [5.81271206e-09 8.81194470e-09]]"
0.25,-0.14,"[[ 1.35514761e-09 -1.01762283e-08] [-1.01762283e-08  7.68598869e-08]]"
-0.25,0.25,"[[2.09535193e-09 3.37247832e-10] [3.37247832e-10 4.34929589e-09]]"
-0.25,-0.25,"[[9.05658425e-10 1.66973294e-10] [1.66973294e-10 5.25588973e-11]]"
-0.25,0.18,"[[1.51137951e-09 9.86020209e-12] [9.86020209e-12 1.91506174e-09]]"
-0.25,-0.18,"[[ 6.26982698e-10 -8.57502779e-11] [-8.57502779e-11  3.66398548e-10]]"
-0.25,0.23,"[[2.10407306e-09 1.06143490e-09] [1.06143490e-09 3.89138297e-09]]"
-0.25,-0.23,"[[7.49322950e-10 3.91102617e-11] [3.91102617e-11 1.00612920e-10]]"
-0.25,0.01,"[[1.08335571e-09 1.79555309e-10] [1.79555309e-10 2.79337428e-10]]"
-0.25,-0.01,"[[1.19456241e-09 1.29229688e-10] [1.29229688e-10 2.77174926e-10]]"
-0.25,0.08,"[[1.04662447e-09 1.47326101e-10] [1.47326101e-10 2.57845433e-10]]"
-0.25,-0.08,"[[6.41675133e-10 6.03130949e-11] [6.03130949e-11 7.94504329e-10]]"
-0.25,0.16,"[[1.97339566e-09 4.84530216e-10] [4.84530216e-10 1.45534415e-09]]"
-0.25,-0.16,"[[8.22392732e-10 3.88551153e-10] [3.88551153e-10 1.72757355e-09]]"
-0.25,0.05,"[[1.23859857e-09 2.19060585e-10] [2.19060585e-10 3.19759004e-10]]"
-0.25,-0.05,"[[5.99205959e-10 8.09474582e-11] [8.09474582e-11 7.81591237e-10]]"
-0.25,0.1,"[[1.49038894e-09 3.32123908e-10] [3.32123908e-10 6.48733043e-10]]"
-0.25,-0.1,"[[8.75831396e-10 1.06087793e-10] [1.06087793e-10 8.73734473e-10]]"
-0.25,0.03,"[[8.92056725e-10 3.54084115e-11] [3.54084115e-11 1.49464721e-10]]"
-0.25,-0.03,"[[8.09518115e-10 1.32295417e-10] [1.32295417e-10 2.92939642e-10]]"
-0.25,0.12,"[[7.42957732e-10 1.09702905e-11] [1.09702905e-11 5.06150170e-10]]"
-0.25,-0.12,"[[ 8.84874083e-10 -2.53458769e-10] [-2.53458769e-10  4.63675686e-10]]"
-0.25,0.21,"[[1.30963897e-09 2.83972608e-10] [2.83972608e-10 2.81990478e-09]]"
-0.25,-0.21,"[[8.25118348e-10 4.05081747e-10] [4.05081747e-10 9.33691989e-10]]"
-0.25,0.14,"[[5.55490021e-10 1.68114721e-10] [1.68114721e-10 9.65462147e-10]]"
-0.25,-0.14,"[[9.94554168e-10 4.34314592e-10] [4.34314592e-10 1.50481876e-09]]"
