x,y,mdq,mdu,sdq,sdu,bad_apples
0.25,0.25,-0.0046886,-0.0112944,0.0001005,9.35e-05,0
0.25,-0.25,0.0002053,8.52e-05,5.7e-05,6.13e-05,0
0.25,0.18,0.0006846,-0.0093497,7.41e-05,8.93e-05,0
0.25,-0.18,0.0258309,0.0101218,2.73e-05,4.38e-05,0
0.25,0.23,-0.0038238,-0.0123683,9.03e-05,7.43e-05,0
0.25,-0.23,0.0031314,-0.0014828,3.33e-05,5.43e-05,0
0.25,0.01,0.0397805,0.0220274,4.85e-05,7.35e-05,0
0.25,-0.01,0.0050298,0.0047512,3.95e-05,0.0001223,0
0.25,0.08,0.0041954,-0.0018127,5.66e-05,9.41e-05,0
0.25,-0.08,0.0390371,-0.0079866,4.03e-05,9.51e-05,0
0.25,0.16,0.0017568,-0.0079722,7.24e-05,9.57e-05,0
0.25,-0.16,0.0443651,0.1100738,6.88e-05,0.0001718,0
0.25,0.05,0.0368742,-0.0005664,3.18e-05,9.86e-05,0
0.25,-0.05,0.0196639,-0.0096996,4.2e-05,0.0001844,0
0.25,0.1,0.0161112,-0.0122445,3.45e-05,0.0001022,0
0.25,-0.1,0.0739912,-0.031257,9.52e-05,5.66e-05,0
0.25,0.03,0.0047902,0.0011622,3.86e-05,8.78e-05,0
0.25,-0.03,0.0052107,0.1954246,0.0001047,0.0040609,0
0.25,0.12,0.0035606,-0.0048833,5.99e-05,0.0001015,0
0.25,-0.12,0.0729981,-0.0822529,0.0001006,5.93e-05,0
0.25,0.21,-0.0015203,-0.0110178,8.16e-05,8.93e-05,0
0.25,-0.21,0.0144444,-0.0081385,3.49e-05,4.45e-05,0
0.25,0.14,0.0054906,-0.0128193,5.32e-05,9.45e-05,0
0.25,-0.14,0.0385925,-0.1675603,5.47e-05,0.0002192,0
-0.25,0.25,-0.0004832,0.0002936,4.88e-05,7.17e-05,0
-0.25,-0.25,0.0148957,0.0010927,2.84e-05,1.19e-05,0
-0.25,0.18,-0.0003074,-0.0007418,3.41e-05,4.77e-05,0
-0.25,-0.18,-0.0003023,-0.0023941,3.02e-05,4.57e-05,0
-0.25,0.23,-0.0086712,0.0022892,4.78e-05,6.77e-05,0
-0.25,-0.23,0.0100133,-0.0009677,2.91e-05,2.58e-05,0
-0.25,0.01,-0.0003521,-0.0040079,2.87e-05,2.06e-05,0
-0.25,-0.01,-8.4e-05,-0.0016477,2.06e-05,2.48e-05,0
-0.25,0.08,0.000807,-0.0028828,3.09e-05,1.87e-05,0
-0.25,-0.08,-0.0004248,-0.000847,2.82e-05,2.82e-05,0
-0.25,0.16,0.0001469,-0.0010282,3.93e-05,3.16e-05,0
-0.25,-0.16,8.2e-05,-0.000896,2.44e-05,4.21e-05,0
-0.25,0.05,0.0005311,-0.0031031,2.98e-05,1.69e-05,0
-0.25,-0.05,-0.0001366,-0.0007927,2.38e-05,2.02e-05,0
-0.25,0.1,0.0012321,-0.004788,3.13e-05,2.56e-05,0
-0.25,-0.1,-0.0001987,-0.0004314,2.43e-05,3.47e-05,0
-0.25,0.03,0.0002436,-0.0027951,3.1e-05,2.13e-05,0
-0.25,-0.03,1.93e-05,-0.0011053,2.91e-05,2.23e-05,0
-0.25,0.12,0.0015638,-0.0080882,3.02e-05,3.36e-05,0
-0.25,-0.12,-0.0001999,-0.000992,2.56e-05,3.6e-05,0
-0.25,0.21,-0.0002319,-0.0001883,3.45e-05,5.98e-05,0
-0.25,-0.21,0.0010393,-0.0009527,3.49e-05,2.65e-05,0
-0.25,0.14,0.0014335,-0.0057579,3.37e-05,3.67e-05,0
-0.25,-0.14,-9.19e-05,-0.0008092,3.1e-05,3.61e-05,0
0.18,0.25,0.067835,0.0923786,0.0001143,0.0001215,0
0.18,-0.25,0.0009562,0.0007359,5.48e-05,4.6e-05,0
0.18,0.18,0.0681107,0.06305,9.86e-05,5.57e-05,0
0.18,-0.18,0.0039253,-0.0024579,4.13e-05,5.39e-05,0
0.18,0.23,0.0679091,0.0851896,0.0001097,0.0001056,0
0.18,-0.23,-0.0037813,0.0200663,6.31e-05,4.37e-05,0
0.18,0.01,0.036756,-0.0363504,0.0001362,0.0004376,0
0.18,-0.01,0.0048869,-0.0052688,4.22e-05,0.0002727,0
0.18,0.08,0.0184901,0.0162627,4.59e-05,9.43e-05,0
0.18,-0.08,0.0414391,0.2458613,5.45e-05,0.0004416,0
0.18,0.16,0.0734458,0.0555968,0.0001148,4.98e-05,0
0.18,-0.16,0.0224924,-0.011169,3.11e-05,5.96e-05,0
0.18,0.05,0.0090403,0.0133975,4.66e-05,0.0001361,0
0.18,-0.05,0.0394277,-0.1152835,5.43e-05,0.0001611,0
0.18,0.1,0.0371201,0.0274606,6.8e-05,7.05e-05,0
0.18,-0.1,0.0433299,0.0649033,5.13e-05,8.86e-05,0
0.18,0.03,0.020061,-0.096753,0.0002893,0.0035614,0
0.18,-0.03,0.0770313,-0.1161754,0.0001283,0.0001603,0
0.18,0.12,0.0756592,0.0542639,0.0001249,6.02e-05,0
0.18,-0.12,0.0438228,0.0221384,4.25e-05,4.44e-05,0
0.18,0.21,0.0045604,0.0051224,6.23e-05,0.0001119,0
0.18,-0.21,0.0342976,0.0018252,4.86e-05,6.73e-05,0
0.18,0.14,0.0383574,0.0321907,4.72e-05,6.32e-05,0
0.18,-0.14,0.0237211,-0.0024982,2.77e-05,4.71e-05,0
-0.18,0.25,-0.002276,0.0011904,7.04e-05,7.25e-05,0
-0.18,-0.25,0.0140318,0.0087452,2.9e-05,1.02e-05,0
-0.18,0.18,-0.0023817,-0.0033503,4.97e-05,5.7e-05,0
-0.18,-0.18,0.0304183,0.0109901,4.78e-05,2.19e-05,0
-0.18,0.23,-0.0024428,0.0004082,5.14e-05,6.62e-05,0
-0.18,-0.23,0.0114714,0.005559,2.69e-05,8.5e-06,0
-0.18,0.01,0.0005818,-0.0026288,3.34e-05,3.1e-05,0
-0.18,-0.01,0.0083507,-0.0324774,2.93e-05,6.75e-05,0
-0.18,0.08,0.0048378,-0.0121058,3.35e-05,4.12e-05,0
-0.18,-0.08,-0.003302,0.0003612,3.86e-05,4.63e-05,0
-0.18,0.16,-0.0003667,-0.0019959,4.77e-05,5e-05,0
-0.18,-0.16,0.0260474,0.0124087,4.34e-05,2.86e-05,0
-0.18,0.05,0.0038367,-0.0143436,2.57e-05,4.84e-05,0
-0.18,-0.05,-0.0001419,-0.0004643,3.66e-05,3.64e-05,0
-0.18,0.1,0.0007403,-0.0031354,3.27e-05,3.88e-05,0
-0.18,-0.1,-0.000183,0.0003571,3.23e-05,4.75e-05,0
-0.18,0.03,0.0006164,-0.0035836,2.92e-05,3.88e-05,0
-0.18,-0.03,-0.0002981,-0.0022812,2.86e-05,4.2e-05,0
-0.18,0.12,-0.0001378,-0.0101147,3.99e-05,4.94e-05,0
-0.18,-0.12,-3.43e-05,0.0002459,3.87e-05,4.46e-05,0
-0.18,0.21,-0.0078933,-0.0004138,6.35e-05,5.67e-05,0
-0.18,-0.21,0.0183138,0.0080552,3.18e-05,1.57e-05,0
-0.18,0.14,-0.0030649,-0.0179821,4.1e-05,5.5e-05,0
-0.18,-0.14,2.49e-05,0.0003059,3.65e-05,4.59e-05,0
0.23,0.25,-0.00386,-0.0149212,0.0001024,8.49e-05,0
0.23,-0.25,1.48e-05,0.035053,5.59e-05,6e-05,0
0.23,0.18,0.0099863,-0.0164345,5.46e-05,0.000107,0
0.23,-0.18,0.0277283,-0.0054331,2.99e-05,4.78e-05,0
0.23,0.23,-0.000347,-0.0065224,9.13e-05,7.9e-05,0
0.23,-0.23,0.0381294,-0.013354,4.13e-05,7.77e-05,0
0.23,0.01,0.0049487,0.0044278,4.46e-05,0.00012,0
0.23,-0.01,0.0049387,0.0265357,7.56e-05,0.0010076,0
0.23,0.08,0.0361615,0.0041867,3.01e-05,8.67e-05,0
0.23,-0.08,0.0050069,-0.0032682,4.09e-05,0.0001151,0
0.23,0.16,0.0026978,-0.0032936,6.02e-05,8.02e-05,0
0.23,-0.16,0.0465127,0.0234903,5.18e-05,4.34e-05,0
0.23,0.05,0.0047679,0.001884,4.9e-05,9.42e-05,0
0.23,-0.05,0.0049593,-0.0018098,3.64e-05,0.0001423,0
0.23,0.1,0.0344404,-0.0017436,2.4e-05,9.33e-05,0
0.23,-0.1,0.0756612,-0.1032306,9.74e-05,7.96e-05,0
0.23,0.03,0.0380806,0.021513,5.97e-05,6.5e-05,0
0.23,-0.03,0.038437,-0.0264636,0.0001001,0.0002505,0
0.23,0.12,0.0039628,-0.0010735,6.05e-05,9.19e-05,0
0.23,-0.12,0.0387034,-0.2037087,5.43e-05,0.0002655,0
0.23,0.21,0.0010369,-0.006021,8.15e-05,9.34e-05,0
0.23,-0.21,0.0093023,-0.0059213,4.07e-05,5.34e-05,0
0.23,0.14,0.0031907,-0.0023729,6.38e-05,8.97e-05,0
0.23,-0.14,0.0412724,0.1254032,5.85e-05,0.0002056,0
-0.23,0.25,-0.0011114,0.0002914,4.58e-05,7.39e-05,0
-0.23,-0.25,0.005624,0.0014183,2.68e-05,9.7e-06,0
-0.23,0.18,-0.0013876,-0.0041567,3.66e-05,5.04e-05,0
-0.23,-0.18,0.0008846,-0.0007111,3.38e-05,3.55e-05,0
-0.23,0.23,-0.001799,-2.61e-05,4.73e-05,7.32e-05,0
-0.23,-0.23,0.0171905,0.0032164,3.27e-05,1.73e-05,0
-0.23,0.01,-7.54e-05,-0.0024222,2.93e-05,2.86e-05,0
-0.23,-0.01,8.35e-05,-0.0014714,3.32e-05,2.09e-05,0
-0.23,0.08,0.0032669,-0.0124899,3.34e-05,2.88e-05,0
-0.23,-0.08,-6.09e-05,-0.0002396,2.9e-05,2.86e-05,0
-0.23,0.16,-3.32e-05,-0.0016955,3.06e-05,4.55e-05,0
-0.23,-0.16,0.0006671,-0.0003868,2.93e-05,4.48e-05,0
-0.23,0.05,0.0004292,-0.0029989,3.65e-05,2.28e-05,0
-0.23,-0.05,-0.0003665,-0.0011308,2.86e-05,2.9e-05,0
-0.23,0.1,0.0004582,-0.0030909,3.08e-05,3.08e-05,0
-0.23,-0.1,-0.0008665,-0.000944,3.01e-05,4.22e-05,0
-0.23,0.03,0.000156,-0.0028532,2.95e-05,2.17e-05,0
-0.23,-0.03,-0.0002357,-0.0011586,2.77e-05,2.82e-05,0
-0.23,0.12,0.0001801,-0.0027084,3.15e-05,2.87e-05,0
-0.23,-0.12,-0.0039265,-0.0051413,3.23e-05,5.16e-05,0
-0.23,0.21,-0.0006985,-0.0007232,4.39e-05,5.44e-05,0
-0.23,-0.21,0.0023317,2.98e-05,2.61e-05,3.15e-05,0
-0.23,0.14,0.00049,-0.0045115,3.6e-05,3.78e-05,0
-0.23,-0.14,-1.18e-05,-0.0002174,2.27e-05,4.8e-05,0
0.01,0.25,0.0049218,0.0037759,7.08e-05,0.0001064,0
0.01,-0.25,0.0200288,0.0231455,3.51e-05,3.68e-05,0
0.01,0.18,0.0373595,0.0296133,2.66e-05,3.02e-05,0
0.01,-0.18,-0.0071419,0.0197876,6.57e-05,3.37e-05,0
0.01,0.23,0.0387831,0.0305567,3.85e-05,2.63e-05,0
0.01,-0.23,0.0123865,0.0230435,3.93e-05,2.99e-05,0
0.01,0.01,0.0342062,0.0085548,3.66e-05,3.84e-05,0
0.01,-0.01,0.040989,0.0044759,4.02e-05,3.64e-05,0
0.01,0.08,0.0377405,0.026118,3.27e-05,3.9e-05,0
0.01,-0.08,0.0237061,-0.0069359,2.99e-05,5.71e-05,0
0.01,0.16,0.0383905,0.0312218,3.71e-05,3.71e-05,0
0.01,-0.16,-0.0003215,0.0003926,5e-05,4.5e-05,0
0.01,0.05,0.0394657,0.0248513,4.44e-05,3.44e-05,0
0.01,-0.05,0.0157158,-0.0054737,3.37e-05,5.59e-05,0
0.01,0.1,0.0765778,0.061577,9.51e-05,5.27e-05,0
0.01,-0.1,0.0237213,-0.0089134,3.39e-05,6.76e-05,0
0.01,0.03,0.0372493,0.0194157,3.41e-05,2.75e-05,0
0.01,-0.03,0.0354003,-0.0047206,3.76e-05,5.09e-05,0
0.01,0.12,0.0367193,0.0273975,3.24e-05,3.61e-05,0
0.01,-0.12,0.0005483,0.0002762,4.48e-05,5.51e-05,0
0.01,0.21,0.0373231,0.0294371,3.75e-05,3.65e-05,0
0.01,-0.21,0.0052084,0.0104806,4.49e-05,1.83e-05,0
0.01,0.14,0.0361737,0.0324247,3.17e-05,3.36e-05,0
0.01,-0.14,0.0107542,0.0376253,3.74e-05,5.41e-05,0
-0.01,0.25,0.0369317,0.0324553,3.21e-05,2.98e-05,0
-0.01,-0.25,0.0204538,0.0211261,3.73e-05,3.17e-05,0
-0.01,0.18,0.0358422,0.0262107,2.61e-05,4.06e-05,0
-0.01,-0.18,-9.09e-05,0.0006779,4.51e-05,4.43e-05,0
-0.01,0.23,0.0357096,0.0314889,3.21e-05,2.79e-05,0
-0.01,-0.23,0.0134203,0.0172139,3.24e-05,1.88e-05,0
-0.01,0.01,0.0337353,-0.000442,3.15e-05,5.19e-05,0
-0.01,-0.01,0.0375588,-0.0030961,3.77e-05,4.65e-05,0
-0.01,0.08,0.004542,0.0025309,3.97e-05,5.4e-05,0
-0.01,-0.08,0.0304045,-0.0197142,3.42e-05,7.31e-05,0
-0.01,0.16,0.0045488,0.0032333,6.11e-05,7.93e-05,0
-0.01,-0.16,-0.0054503,0.0106891,5.7e-05,3.88e-05,0
-0.01,0.05,0.0047895,0.0017853,4.36e-05,5.03e-05,0
-0.01,-0.05,0.0232545,-0.012216,2.5e-05,6.5e-05,0
-0.01,0.1,0.0365645,0.0217247,3.36e-05,3.81e-05,0
-0.01,-0.1,0.0007449,-0.00028,4.58e-05,4.9e-05,0
-0.01,0.03,0.035982,0.0073244,3.63e-05,3.76e-05,0
-0.01,-0.03,0.0302572,-0.0070094,2.67e-05,5.2e-05,0
-0.01,0.12,0.0360488,0.0238945,3.37e-05,3.73e-05,0
-0.01,-0.12,0.0297528,0.0008012,4.21e-05,5.84e-05,0
-0.01,0.21,0.037493,0.030525,3.77e-05,1.93e-05,0
-0.01,-0.21,0.001459,0.0027816,4.21e-05,1.65e-05,0
-0.01,0.14,0.0358295,0.0271705,3e-05,3.58e-05,0
-0.01,-0.14,-0.0001183,0.0003884,4.48e-05,5.6e-05,0
0.08,0.25,0.0298259,-0.0890981,0.0004627,0.0034735,0
0.08,-0.25,0.004753,0.0055054,4.1e-05,1.17e-05,0
0.08,0.18,0.0048527,0.0045541,6.79e-05,0.0003064,0
0.08,-0.18,-0.0066305,0.0163158,6.14e-05,3.86e-05,0
0.08,0.23,0.0050049,0.0376167,0.0001055,0.0216704,0
0.08,-0.23,0.0154653,0.0246251,3.69e-05,3.45e-05,0
0.08,0.01,0.0376598,0.0517585,3.09e-05,4.9e-05,0
0.08,-0.01,0.0378616,0.0410086,3.3e-05,4.34e-05,0
0.08,0.08,0.0383497,0.0710806,6.2e-05,9.52e-05,0
0.08,-0.08,0.0401514,-0.0052468,3.82e-05,4.93e-05,0
0.08,0.16,0.0051039,0.0052311,5.89e-05,0.0001014,0
0.08,-0.16,0.0323274,0.0364058,4.65e-05,5.05e-05,0
0.08,0.05,0.0384616,0.0642961,4.37e-05,6.01e-05,0
0.08,-0.05,0.0380026,0.0102831,3.36e-05,3.8e-05,0
0.08,0.1,0.0190039,0.0295184,4.27e-05,7.74e-05,0
0.08,-0.1,0.0167894,-0.0059877,3.29e-05,5.74e-05,0
0.08,0.03,0.0387246,0.061881,2.9e-05,5.31e-05,0
0.08,-0.03,0.0385942,0.0235484,3.65e-05,3.67e-05,0
0.08,0.12,0.0186323,0.0254224,4.77e-05,3.71e-05,0
0.08,-0.12,0.0285693,-0.0105626,2.75e-05,6.8e-05,0
0.08,0.21,0.0048759,0.0037908,6.81e-05,0.0022371,0
0.08,-0.21,0.0015164,0.0275804,5.23e-05,4.69e-05,0
0.08,0.14,0.0193636,0.0193697,7.62e-05,2.96e-05,0
0.08,-0.14,0.0334071,-0.0086157,4e-05,6.7e-05,0
-0.08,0.25,0.0322907,0.0351759,3.33e-05,3.64e-05,0
-0.08,-0.25,0.0200053,0.017051,3.45e-05,2.66e-05,0
-0.08,0.18,0.0029901,0.0022125,4.51e-05,5.37e-05,0
-0.08,-0.18,0.0009005,0.0009659,4.38e-05,3.06e-05,0
-0.08,0.23,0.0320162,0.0259853,2.65e-05,2.61e-05,0
-0.08,-0.23,0.0093213,0.0091966,3.29e-05,7.1e-06,0
-0.08,0.01,0.010302,-0.0085011,3.12e-05,5.46e-05,0
-0.08,-0.01,0.0028252,-0.0025498,4.43e-05,4.74e-05,0
-0.08,0.08,0.0259557,-0.0042422,2.9e-05,5.14e-05,0
-0.08,-0.08,0.0001423,-0.0003255,3.6e-05,4.7e-05,0
-0.08,0.16,0.0452371,0.0205795,5.99e-05,2.59e-05,0
-0.08,-0.16,0.0036059,0.0215109,3.68e-05,2.4e-05,0
-0.08,0.05,0.027913,-0.012471,2.71e-05,5.83e-05,0
-0.08,-0.05,0.001731,-0.0015133,3.37e-05,4.8e-05,0
-0.08,0.1,0.0426748,0.002217,4.61e-05,4.54e-05,0
-0.08,-0.1,0.0003036,0.0004233,3.89e-05,5.62e-05,0
-0.08,0.03,0.0029781,-0.0013002,4.25e-05,3.77e-05,0
-0.08,-0.03,0.0041804,-0.0042737,3.84e-05,4.69e-05,0
-0.08,0.12,0.0244439,0.0045188,2.42e-05,4.2e-05,0
-0.08,-0.12,-0.0171525,0.0319708,6.41e-05,3.96e-05,0
-0.08,0.21,0.051078,0.0462862,5.26e-05,4.48e-05,0
-0.08,-0.21,0.0118476,0.0132152,3.35e-05,1.41e-05,0
-0.08,0.14,0.0472775,0.0170492,4.91e-05,2.21e-05,0
-0.08,-0.14,-0.0125209,0.0331618,5.55e-05,3.72e-05,0
0.16,0.25,0.0180658,0.0576042,5.97e-05,0.0001435,0
0.16,-0.25,0.0017047,0.0013104,5.89e-05,3.15e-05,0
0.16,0.18,0.0376318,0.0468139,7.27e-05,7.31e-05,0
0.16,-0.18,0.0027964,-0.0016115,4.59e-05,5.23e-05,0
0.16,0.23,0.0048057,0.0099598,6.36e-05,0.00016,0
0.16,-0.23,-0.0003003,0.0025431,5.23e-05,4.72e-05,0
0.16,0.01,0.039226,-0.0597632,0.0001186,0.0003929,0
0.16,-0.01,0.0764869,-0.1734855,0.0001895,0.0003048,0
0.16,0.08,0.0049125,0.0060007,5.31e-05,0.0001517,0
0.16,-0.08,0.0403639,0.0665478,4.44e-05,8.12e-05,0
0.16,0.16,0.0370095,0.0417882,7.11e-05,6.94e-05,0
0.16,-0.16,0.0185482,-0.0101707,3.03e-05,6.33e-05,0
0.16,0.05,0.0049689,-0.0342809,9.44e-05,0.005849,0
