x,y,covariance
0.25,0.25,"[[1.02115632e-08 6.09195848e-09]
 [6.09195848e-09 8.83849429e-09]]"
0.25,-0.25,"[[3.28444581e-09 4.95760243e-10]
 [4.95760243e-10 3.79386345e-09]]"
0.25,0.18,"[[5.55154391e-09 5.09920207e-09]
 [5.09920207e-09 8.05227756e-09]]"
0.25,-0.18,"[[7.51892654e-10 6.39331705e-10]
 [6.39331705e-10 1.93409194e-09]]"
0.25,0.23,"[[8.24081804e-09 4.28523804e-09]
 [4.28523804e-09 5.57849948e-09]]"
0.25,-0.23,"[[1.12297395e-09 1.29268848e-10]
 [1.29268848e-10 2.97778788e-09]]"
0.25,0.01,"[[2.37876863e-09 3.11805679e-11]
 [3.11805679e-11 5.45228664e-09]]"
0.25,-0.01,"[[1.57426322e-09 4.64594276e-09]
 [4.64594276e-09 1.51104775e-08]]"
0.25,0.08,"[[3.23646377e-09 5.27505177e-09]
 [5.27505177e-09 8.93757676e-09]]"
0.25,-0.08,"[[1.63807741e-09 2.13401462e-09]
 [2.13401462e-09 9.14303590e-09]]"
0.25,0.16,"[[5.29516905e-09 5.49801637e-09]
 [5.49801637e-09 9.24502626e-09]]"
0.25,-0.16,"[[4.78075607e-09 1.05771395e-08]
 [1.05771395e-08 2.97993541e-08]]"
0.25,0.05,"[[ 1.01908776e-09 -1.09709465e-09]
 [-1.09709465e-09  9.82983979e-09]]"
0.25,-0.05,"[[ 1.78232094e-09 -3.19849117e-09]
 [-3.19849117e-09  3.43419460e-08]]"
0.25,0.1,"[[1.20553120e-09 3.08992401e-09]
 [3.08992401e-09 1.05493701e-08]]"
0.25,-0.1,"[[9.15198733e-09 2.93296103e-09]
 [2.93296103e-09 3.23488070e-09]]"
0.25,0.03,"[[1.50836576e-09 3.39475970e-09]
 [3.39475970e-09 7.78721288e-09]]"
0.25,-0.03,"[[1.10799211e-08 2.56620205e-07]
 [2.56620205e-07 1.66577624e-05]]"
0.25,0.12,"[[3.62362971e-09 5.17706312e-09]
 [5.17706312e-09 1.04154273e-08]]"
0.25,-0.12,"[[ 1.02262899e-08 -4.60607954e-09]
 [-4.60607954e-09  3.54608401e-09]]"
0.25,0.21,"[[6.73245927e-09 5.07725065e-09]
 [5.07725065e-09 8.05599619e-09]]"
0.25,-0.21,"[[1.23118893e-09 6.49185751e-10]
 [6.49185751e-10 2.00049173e-09]]"
0.25,0.14,"[[2.86268868e-09 3.99613620e-09]
 [3.99613620e-09 9.01856929e-09]]"
0.25,-0.14,"[[ 3.02163516e-09 -1.08531804e-08]
 [-1.08531804e-08  4.85543762e-08]]"
-0.25,0.25,"[[2.40928447e-09 4.91918596e-10]
 [4.91918596e-10 5.19882357e-09]]"
-0.25,-0.25,"[[ 8.13235849e-10 -2.93002973e-11]
 [-2.93002973e-11  1.42877884e-10]]"
-0.25,0.18,"[[1.17503120e-09 3.12175590e-10]
 [3.12175590e-10 2.29551723e-09]]"
-0.25,-0.18,"[[9.20537116e-10 3.66280621e-10]
 [3.66280621e-10 2.10715024e-09]]"
-0.25,0.23,"[[2.31075219e-09 4.15209618e-10]
 [4.15209618e-10 4.63427557e-09]]"
-0.25,-0.23,"[[8.57028823e-10 1.07432751e-10]
 [1.07432751e-10 6.72053309e-10]]"
-0.25,0.01,"[[8.29537099e-10 1.39566456e-10]
 [1.39566456e-10 4.29492905e-10]]"
-0.25,-0.01,"[[4.28039871e-10 8.89493984e-11]
 [8.89493984e-11 6.19292488e-10]]"
-0.25,0.08,"[[ 9.64071139e-10 -3.45074537e-11]
 [-3.45074537e-11  3.52486850e-10]]"
-0.25,-0.08,"[[8.00793768e-10 5.55229561e-11]
 [5.55229561e-11 8.03200054e-10]]"
-0.25,0.16,"[[ 1.56233190e-09 -1.30283690e-10]
 [-1.30283690e-10  1.00814406e-09]]"
-0.25,-0.16,"[[6.03600338e-10 2.24102822e-10]
 [2.24102822e-10 1.78882431e-09]]"
-0.25,0.05,"[[ 8.96837731e-10 -7.03213822e-11]
 [-7.03213822e-11  2.87663491e-10]]"
-0.25,-0.05,"[[5.70744073e-10 4.70436164e-11]
 [4.70436164e-11 4.10875814e-10]]"
-0.25,0.1,"[[9.91851491e-10 6.22330850e-11]
 [6.22330850e-11 6.63331822e-10]]"
-0.25,-0.1,"[[5.94910165e-10 1.52280958e-10]
 [1.52280958e-10 1.21487571e-09]]"
-0.25,0.03,"[[9.68072143e-10 3.21188354e-10]
 [3.21188354e-10 4.56808676e-10]]"
-0.25,-0.03,"[[8.57039055e-10 1.46850714e-10]
 [1.46850714e-10 5.04249094e-10]]"
-0.25,0.12,"[[9.20621591e-10 2.49579001e-10]
 [2.49579001e-10 1.13718373e-09]]"
-0.25,-0.12,"[[6.63524904e-10 1.81592388e-10]
 [1.81592388e-10 1.30887578e-09]]"
-0.25,0.21,"[[ 1.20050348e-09 -3.09547856e-11]
 [-3.09547856e-11  3.60826015e-09]]"
-0.25,-0.21,"[[1.23235881e-09 5.13726021e-10]
 [5.13726021e-10 7.10463967e-10]]"
-0.25,0.14,"[[1.14924188e-09 5.07305370e-10]
 [5.07305370e-10 1.35725602e-09]]"
-0.25,-0.14,"[[9.67602369e-10 3.79410601e-10]
 [3.79410601e-10 1.31845074e-09]]"
0.18,0.25,"[[1.31961822e-08 1.37764454e-08]
 [1.37764454e-08 1.49223197e-08]]"
0.18,-0.25,"[[3.03866498e-09 4.07354900e-10]
 [4.07354900e-10 2.13703820e-09]]"
0.18,0.18,"[[9.81634131e-09 3.84081641e-09]
 [3.84081641e-09 3.13857724e-09]]"
0.18,-0.18,"[[1.71964005e-09 9.58032716e-10]
 [9.58032716e-10 2.93239931e-09]]"
0.18,0.23,"[[1.21577016e-08 1.13984310e-08]
 [1.13984310e-08 1.12551772e-08]]"
0.18,-0.23,"[[ 4.02107093e-09 -1.27800608e-09]
 [-1.27800608e-09  1.92556841e-09]]"
0.18,0.01,"[[ 1.87456585e-08 -2.47326397e-09]
 [-2.47326397e-09  1.93442067e-07]]"
0.18,-0.01,"[[ 1.80065249e-09 -1.15126458e-08]
 [-1.15126458e-08  7.51327765e-08]]"
0.18,0.08,"[[2.12613030e-09 2.55690927e-09]
 [2.55690927e-09 8.98119260e-09]]"
0.18,-0.08,"[[2.99933249e-09 1.82330339e-08]
 [1.82330339e-08 1.96951130e-07]]"
0.18,0.16,"[[1.33112877e-08 3.50543301e-09]
 [3.50543301e-09 2.50293710e-09]]"
0.18,-0.16,"[[9.77081311e-10 4.44967198e-10]
 [4.44967198e-10 3.58812207e-09]]"
0.18,0.05,"[[ 2.18927633e-09 -4.85167178e-09]
 [-4.85167178e-09  1.87185404e-08]]"
0.18,-0.05,"[[ 2.98375212e-09 -2.33225204e-09]
 [-2.33225204e-09  2.62116946e-08]]"
0.18,0.1,"[[4.67640651e-09 5.86845035e-10]
 [5.86845035e-10 5.01456906e-09]]"
0.18,-0.1,"[[2.65694999e-09 2.97536275e-09]
 [2.97536275e-09 7.92847000e-09]]"
0.18,0.03,"[[ 8.45587849e-08 -4.46383664e-07]
 [-4.46383664e-07  1.28118941e-05]]"
0.18,-0.03,"[[ 1.66278216e-08 -1.31567400e-08]
 [-1.31567400e-08  2.59676353e-08]]"
0.18,0.12,"[[1.57471063e-08 3.98989417e-09]
 [3.98989417e-09 3.65730377e-09]]"
0.18,-0.12,"[[1.82601978e-09 4.51145664e-10]
 [4.51145664e-10 1.99258824e-09]]"
0.18,0.21,"[[3.91460458e-09 7.00764118e-09]
 [7.00764118e-09 1.26387464e-08]]"
0.18,-0.21,"[[ 2.38521409e-09 -2.69801076e-09]
 [-2.69801076e-09  4.57407085e-09]]"
0.18,0.14,"[[2.24665953e-09 7.53295065e-10]
 [7.53295065e-10 4.03871787e-09]]"
0.18,-0.14,"[[7.72635348e-10 5.63490520e-10]
 [5.63490520e-10 2.23932876e-09]]"
-0.18,0.25,"[[5.00924682e-09 2.02524532e-09]
 [2.02524532e-09 5.30583667e-09]]"
-0.18,-0.25,"[[8.47381890e-10 2.34843272e-10]
 [2.34843272e-10 1.05635003e-10]]"
-0.18,0.18,"[[2.49404302e-09 6.98906656e-10]
 [6.98906656e-10 3.28565927e-09]]"
-0.18,-0.18,"[[ 2.30688309e-09 -7.54713193e-10]
 [-7.54713193e-10  4.84695768e-10]]"
-0.18,0.23,"[[2.67320661e-09 1.54590253e-09]
 [1.54590253e-09 4.42343544e-09]]"
-0.18,-0.23,"[[7.32187287e-10 9.00851170e-11]
 [9.00851170e-11 7.30175118e-11]]"
-0.18,0.01,"[[1.12592335e-09 1.33464040e-10]
 [1.33464040e-10 9.68356049e-10]]"
-0.18,-0.01,"[[8.65183611e-10 3.15600486e-10]
 [3.15600486e-10 4.59564995e-09]]"
-0.18,0.08,"[[1.13510063e-09 6.02411579e-10]
 [6.02411579e-10 1.71119449e-09]]"
-0.18,-0.08,"[[1.50364300e-09 6.92977301e-10]
 [6.92977301e-10 2.16777934e-09]]"
