x,y,mdq,mdu,sdq,sdu,bad_apples
0.25,0.25,-0.0002405,-4.65e-05,0.0001019,7.22e-05,0
0.25,-0.25,-0.0004124,0.0005236,4.45e-05,5.81e-05,0
0.25,0.18,-0.0024246,-0.0030209,6.88e-05,8.6e-05,0
0.25,-0.18,-0.0001333,-0.0007042,5.17e-05,5.59e-05,0
0.25,0.23,-0.0001849,-0.000341,8.86e-05,7.9e-05,0
0.25,-0.23,-0.0003583,0.0001717,5.41e-05,5.22e-05,0
0.25,0.01,0.0002831,-0.0086288,4.45e-05,0.0001056,0
0.25,-0.01,0.0006392,-0.0068019,4.78e-05,0.0001493,0
0.25,0.08,-0.0001599,-0.001835,5.57e-05,8.5e-05,0
0.25,-0.08,0.000529,0.006511,4.34e-05,0.0001177,0
0.25,0.16,-0.0006161,-0.0006931,7.26e-05,8.38e-05,0
0.25,-0.16,0.0457024,0.002409,6.44e-05,0.0001899,0
0.25,0.05,-0.0012319,-0.0100231,5.31e-05,0.0001016,0
0.25,-0.05,0.0011273,0.0062376,4.98e-05,0.0002346,0
0.25,0.1,-0.0004079,-0.0013781,5.94e-05,8.49e-05,0
0.25,-0.1,2.06e-05,0.0024944,4.55e-05,0.0001185,0
0.25,0.03,8.85e-05,-0.0061677,4.92e-05,9.71e-05,0
0.25,-0.03,0.0049603,0.2352734,0.0001348,0.0032625,0
0.25,0.12,-0.0006591,-0.0026511,5.75e-05,8.23e-05,0
0.25,-0.12,3.33e-05,0.0020985,4.34e-05,0.0001201,0
0.25,0.21,-0.0005463,-0.0003683,7.4e-05,8.28e-05,0
0.25,-0.21,-0.0010182,-0.0004451,5.23e-05,3.7e-05,0
0.25,0.14,-0.0002595,-0.0010895,7.28e-05,9.34e-05,0
0.25,-0.14,9.82e-05,0.0013319,3.66e-05,0.0002758,0
-0.25,0.25,-0.0034262,0.0033951,4.55e-05,6.56e-05,0
-0.25,-0.25,0.0123195,0.0081359,2.99e-05,7.2e-06,0
-0.25,0.18,-0.001363,0.000709,3.87e-05,4.35e-05,0
-0.25,-0.18,0.0054287,0.0257807,2.49e-05,1.9e-05,0
-0.25,0.23,-0.0008221,0.0004379,4.56e-05,6.21e-05,0
-0.25,-0.23,0.0131881,0.0127475,2.72e-05,1e-05,0
-0.25,0.01,-0.0039019,0.0007634,3.27e-05,1.66e-05,0
-0.25,-0.01,-0.0120896,0.0042146,3.44e-05,1.66e-05,0
-0.25,0.08,-0.0118688,0.0051665,3.22e-05,1.6e-05,0
-0.25,-0.08,-5.5e-05,6.46e-05,2.52e-05,2.8e-05,0
-0.25,0.16,-0.0101143,0.0034285,4.42e-05,3.8e-05,0
-0.25,-0.16,0.0001122,0.0004157,2.85e-05,4.14e-05,0
-0.25,0.05,-0.010267,-0.0005368,3.5e-05,1.78e-05,0
-0.25,-0.05,-5.85e-05,8.92e-05,2.44e-05,2.78e-05,0
-0.25,0.1,-0.0099091,0.0013401,3.84e-05,2.53e-05,0
-0.25,-0.1,7.99e-05,0.0002457,2.94e-05,2.94e-05,0
-0.25,0.03,-0.0001173,8.56e-05,2.97e-05,1.22e-05,0
-0.25,-0.03,-0.0001024,7.2e-05,2.83e-05,1.7e-05,0
-0.25,0.12,-0.0002136,5.71e-05,2.71e-05,2.24e-05,0
-0.25,-0.12,0.0011146,0.0290377,2.96e-05,2.14e-05,0
-0.25,0.21,-0.000748,0.0005357,3.6e-05,5.28e-05,0
-0.25,-0.21,0.0002273,0.0005243,2.86e-05,3.04e-05,0
-0.25,0.14,-0.0002934,4.32e-05,2.35e-05,3.09e-05,0
-0.25,-0.14,9.28e-05,0.0006687,3.14e-05,3.86e-05,0
0.18,0.25,0.0001515,-0.0017922,7.93e-05,0.0001478,0
0.18,-0.25,-0.001234,0.0011362,6.1e-05,4.67e-05,0
0.18,0.18,-5.26e-05,-0.0025208,7.95e-05,0.0001485,0
0.18,-0.18,-0.0004925,0.0004813,5.19e-05,4.86e-05,0
0.18,0.23,-0.0001531,-0.0017423,9.6e-05,0.0001576,0
0.18,-0.23,-0.0035611,0.0051928,6.58e-05,5.37e-05,0
0.18,0.01,0.0024038,0.0057921,5.2e-05,0.0005062,0
0.18,-0.01,0.0016005,0.0053414,5.35e-05,0.0003079,0
0.18,0.08,0.0005249,-0.0065818,5.94e-05,0.0001386,0
0.18,-0.08,0.0019864,0.0093698,5.06e-05,0.0006208,0
0.18,0.16,-4.63e-05,-0.0064381,6.43e-05,0.0001279,0
0.18,-0.16,-0.0002251,-0.0002012,4.56e-05,4.04e-05,0
0.18,0.05,0.0030556,-0.0044532,5.44e-05,0.0001973,0
0.18,-0.05,0.0107435,0.0125533,3.92e-05,0.0003995,0
0.18,0.1,0.0005593,-0.0052264,5.44e-05,0.0001257,0
0.18,-0.1,-3.51e-05,-0.0006414,5.62e-05,0.0001363,0
0.18,0.03,0.0278501,-0.1058761,0.0004663,0.0034388,0
0.18,-0.03,0.0009362,0.0040014,4.91e-05,0.0002723,0
0.18,0.12,5e-06,-0.0162481,4.88e-05,0.0001167,0
0.18,-0.12,-1.59e-05,-0.000594,5.15e-05,7.17e-05,0
0.18,0.21,-9.36e-05,-0.0020993,8.29e-05,0.0001421,0
0.18,-0.21,-0.0132639,0.0270284,7.18e-05,4.55e-05,0
0.18,0.14,-0.0003254,-0.0072695,6.72e-05,0.0001391,0
0.18,-0.14,-0.0003481,-0.0004239,5.17e-05,4.43e-05,0
-0.18,0.25,-0.0060094,0.0055717,6.65e-05,5.97e-05,0
-0.18,-0.25,0.0126708,0.0207808,2.67e-05,2.28e-05,0
-0.18,0.18,-0.0103596,0.0020204,6.29e-05,5.2e-05,0
-0.18,-0.18,-0.0004728,0.00106,3.32e-05,3.87e-05,0
-0.18,0.23,-0.000343,5.33e-05,5.61e-05,6.81e-05,0
-0.18,-0.23,0.0002245,0.0002994,3.2e-05,1.86e-05,0
-0.18,0.01,-0.0003728,0.0003685,3.33e-05,3.51e-05,0
-0.18,-0.01,-0.0005671,0.0003826,3.54e-05,3.29e-05,0
-0.18,0.08,-0.000365,4.53e-05,3.11e-05,3.65e-05,0
-0.18,-0.08,-0.0009594,0.0018833,3.53e-05,4.25e-05,0
-0.18,0.16,-0.0003149,2.55e-05,3.73e-05,4.88e-05,0
-0.18,-0.16,-0.0057633,0.0207615,4.4e-05,2.52e-05,0
-0.18,0.05,-0.0003519,0.0002462,3.83e-05,3.04e-05,0
-0.18,-0.05,-0.0003142,0.0002772,3.89e-05,3.39e-05,0
-0.18,0.1,-0.0147075,0.0073568,4.85e-05,3.28e-05,0
-0.18,-0.1,-0.000304,0.000723,3.18e-05,4.69e-05,0
-0.18,0.03,-0.0002546,9.13e-05,3.4e-05,3e-05,0
-0.18,-0.03,-0.0002717,9.56e-05,3.67e-05,3.64e-05,0
-0.18,0.12,-0.0004623,0.00014,3.73e-05,3.85e-05,0
-0.18,-0.12,-0.0055817,0.02577,3.73e-05,2.79e-05,0
-0.18,0.21,-0.0004072,6.43e-05,4.49e-05,6.36e-05,0
-0.18,-0.21,-1.31e-05,0.0003492,3.67e-05,2.61e-05,0
-0.18,0.14,-0.0003036,-4.51e-05,4.81e-05,3.78e-05,0
-0.18,-0.14,-0.000141,0.0005268,3.61e-05,4.17e-05,0
0.23,0.25,-0.001925,-0.0026894,9.58e-05,6.7e-05,0
0.23,-0.25,-0.0003366,0.0006371,5.46e-05,6.95e-05,0
0.23,0.18,-0.0004014,-0.0012237,7.15e-05,8.42e-05,0
0.23,-0.18,-0.0004884,-0.0003126,5.26e-05,3.93e-05,0
0.23,0.23,-0.0007218,-0.0013145,8.59e-05,6.84e-05,0
0.23,-0.23,-0.0060609,0.007218,5.96e-05,5.9e-05,0
0.23,0.01,0.0008641,-0.0074779,5.26e-05,0.0001604,0
0.23,-0.01,0.0047017,0.0212912,9.12e-05,0.0012138,0
0.23,0.08,-0.0001842,-0.0023253,6.46e-05,9.72e-05,0
0.23,-0.08,0.0005349,0.0029818,4.12e-05,0.0001198,0
0.23,0.16,-0.0004639,-0.0011246,6.85e-05,9.28e-05,0
0.23,-0.16,-4.25e-05,-0.0003365,5.26e-05,7.05e-05,0
0.23,0.05,-0.0004268,-0.0033048,5.99e-05,0.0001099,0
0.23,-0.05,0.0002477,0.0048849,4.93e-05,0.000165,0
0.23,0.1,-0.0003016,-0.0018858,5.49e-05,9.4e-05,0
0.23,-0.1,0.0002583,0.0027233,4.64e-05,0.0001477,0
0.23,0.03,0.0002806,-0.0094072,4.96e-05,0.0001161,0
0.23,-0.03,0.0018754,0.0066057,5.23e-05,0.0003189,0
0.23,0.12,-0.0004634,-0.0017187,6.36e-05,9.54e-05,0
0.23,-0.12,0.002511,-0.000885,3.51e-05,0.0003141,0
0.23,0.21,-0.0004384,-0.000757,9.4e-05,7.39e-05,0
0.23,-0.21,-0.0004405,6.73e-05,4.49e-05,4.71e-05,0
0.23,0.14,-0.0027833,-0.0105558,6.88e-05,0.0001009,0
0.23,-0.14,0.0534978,0.0653294,9e-05,0.0001831,0
-0.23,0.25,-0.0004953,0.0002754,4.88e-05,6.72e-05,0
-0.23,-0.25,0.0113291,0.0066264,2.54e-05,5.9e-06,0
-0.23,0.18,-0.0045858,0.0007934,3.99e-05,4.92e-05,0
-0.23,-0.18,4.77e-05,0.0004018,2.98e-05,4.18e-05,0
-0.23,0.23,-0.0003816,0.0003861,4.45e-05,6.34e-05,0
-0.23,-0.23,0.0043267,0.0223634,2.91e-05,2.73e-05,0
-0.23,0.01,-0.0003003,0.0002023,3.12e-05,2.08e-05,0
-0.23,-0.01,-0.0002142,0.0001349,2.44e-05,2.12e-05,0
-0.23,0.08,-0.0002597,8.51e-05,2.56e-05,2.52e-05,0
-0.23,-0.08,-0.0001518,0.0003432,2.13e-05,3.85e-05,0
-0.23,0.16,-0.0003663,0.0001476,3.56e-05,4.3e-05,0
-0.23,-0.16,0.0039042,0.0305678,2.63e-05,1.98e-05,0
-0.23,0.05,-0.0008535,0.0005824,3.21e-05,2.12e-05,0
-0.23,-0.05,-0.000112,0.0002218,2.81e-05,2.47e-05,0
-0.23,0.1,-0.0146794,0.0039575,3.98e-05,2.72e-05,0
-0.23,-0.1,-0.0001328,0.0005397,3e-05,3.76e-05,0
-0.23,0.03,-0.000702,0.0005297,2.86e-05,2.09e-05,0
-0.23,-0.03,-0.0001567,0.0001585,2.93e-05,2.74e-05,0
-0.23,0.12,-0.0006592,0.0002332,3.1e-05,2.95e-05,0
-0.23,-0.12,0.0019763,0.04548,2.67e-05,4.29e-05,0
-0.23,0.21,-0.0065679,0.0052129,4.11e-05,5.67e-05,0
-0.23,-0.21,0.0117297,0.0261927,2.66e-05,2.67e-05,0
-0.23,0.14,-0.0004723,-6.73e-05,3.45e-05,2.95e-05,0
-0.23,-0.14,4.69e-05,0.0004341,2.48e-05,4.17e-05,0
0.01,0.25,-0.0003775,-0.0101027,8.44e-05,0.00014,0
0.01,-0.25,-4.62e-05,9.54e-05,4.94e-05,2.7e-05,0
0.01,0.18,1.77e-05,-0.0037601,7.07e-05,0.0001069,0
0.01,-0.18,-0.0003435,0.000426,4.94e-05,3.95e-05,0
0.01,0.23,-0.0004011,-0.0050322,8.42e-05,0.0001257,0
0.01,-0.23,-0.0004201,-9.39e-05,5.23e-05,1.65e-05,0
0.01,0.01,-0.0001315,-0.000247,4.78e-05,5.39e-05,0
0.01,-0.01,-7.66e-05,-0.0001889,4.92e-05,5.02e-05,0
0.01,0.08,-2.61e-05,-0.0008688,5.09e-05,7.51e-05,0
0.01,-0.08,-0.0003059,9.96e-05,5e-05,5.1e-05,0
0.01,0.16,-0.0005314,-0.0149539,6.46e-05,0.0001215,0
0.01,-0.16,-0.0002271,0.0003622,4.92e-05,4.3e-05,0
0.01,0.05,-1.31e-05,-0.0005357,4.5e-05,6.13e-05,0
0.01,-0.05,-0.0028207,0.0006465,4.54e-05,3.6e-05,0
0.01,0.1,5.2e-05,-0.004373,5.26e-05,8.46e-05,0
0.01,-0.1,-0.0003015,0.0003155,4.67e-05,4.52e-05,0
0.01,0.03,-0.0001595,-0.0003944,4.25e-05,6.18e-05,0
0.01,-0.03,-0.0001741,-2.51e-05,4.39e-05,4.14e-05,0
0.01,0.12,7.8e-06,-0.0011643,5.86e-05,9.36e-05,0
0.01,-0.12,-0.0076413,0.0126726,5.56e-05,4.19e-05,0
0.01,0.21,-0.0001267,-0.0021682,7.16e-05,0.0001072,0
0.01,-0.21,-0.0020494,0.001982,5.35e-05,2.4e-05,0
0.01,0.14,-0.0001234,-0.0013144,6.78e-05,9.42e-05,0
0.01,-0.14,-0.0003512,0.0004453,4.62e-05,5.39e-05,0
-0.01,0.25,0.0001349,-0.006047,7.87e-05,0.0001064,0
-0.01,-0.25,-0.0001226,-3.64e-05,5.57e-05,3.37e-05,0
-0.01,0.18,-0.0001317,-0.0013184,7.07e-05,8.82e-05,0
-0.01,-0.18,-0.0003321,0.0004859,5.62e-05,3.62e-05,0
-0.01,0.23,-0.0001206,-0.0015277,8.48e-05,0.0001064,0
-0.01,-0.23,-0.0008832,-7.77e-05,5.36e-05,1.65e-05,0
-0.01,0.01,-0.0002749,-0.0003061,4.91e-05,4.21e-05,0
-0.01,-0.01,-0.001829,-0.0015705,4.52e-05,4.13e-05,0
-0.01,0.08,0.0001393,-0.0011894,5.32e-05,6.82e-05,0
-0.01,-0.08,-0.0002861,0.0003516,4.2e-05,5.03e-05,0
-0.01,0.16,-9.17e-05,-0.0011437,5.82e-05,8.67e-05,0
-0.01,-0.16,-0.0006282,0.0008739,4.88e-05,4.85e-05,0
-0.01,0.05,-0.0004299,-0.0030411,4.99e-05,5.9e-05,0
-0.01,-0.05,-0.0002057,9.82e-05,4.61e-05,3.74e-05,0
-0.01,0.1,-0.0006995,-0.0126204,5.45e-05,8.9e-05,0
-0.01,-0.1,-0.0002111,0.0003929,4.97e-05,5.2e-05,0
-0.01,0.03,-0.000141,-0.0002733,4.63e-05,6.05e-05,0
-0.01,-0.03,-0.0013793,-0.0004577,5.26e-05,3.85e-05,0
-0.01,0.12,-0.0001549,-0.0009002,5.89e-05,7.85e-05,0
-0.01,-0.12,-0.0194298,0.0155783,7.69e-05,3.97e-05,0
-0.01,0.21,4.16e-05,-0.0014572,6.86e-05,8.8e-05,0
-0.01,-0.21,-0.0001163,6.16e-05,5.15e-05,1.48e-05,0
-0.01,0.14,0.0001144,-0.0021177,5.88e-05,8.12e-05,0
-0.01,-0.14,-0.0052082,0.0079269,4.7e-05,4.48e-05,0
0.08,0.25,0.04374,-0.0466762,0.0007018,0.0037771,0
0.08,-0.25,-0.0001528,-8.96e-05,6.14e-05,1.4e-05,0
0.08,0.18,0.0024975,-0.0052004,6.09e-05,0.0002814,0
0.08,-0.18,-0.0004399,0.000504,4.58e-05,6.04e-05,0
0.08,0.23,0.004665,0.0647923,8.52e-05,0.0204116,0
0.08,-0.23,-0.0002066,0.000246,5.73e-05,2.39e-05,0
0.08,0.01,0.0002923,-0.0026463,5.05e-05,0.0001158,0
0.08,-0.01,0.0034056,-0.0108471,4.59e-05,0.0001064,0
0.08,0.08,0.0007942,-0.005489,5.81e-05,0.0001928,0
0.08,-0.08,-0.0056488,-0.0059561,5.38e-05,5.09e-05,0
0.08,0.16,0.0028584,-0.0059676,6.91e-05,0.0001241,0
0.08,-0.16,-0.0006731,0.0009419,5.42e-05,5.58e-05,0
0.08,0.05,-0.0008173,-0.0064368,5.03e-05,0.0001601,0
0.08,-0.05,-8.94e-05,-0.0002719,4.67e-05,5.99e-05,0
0.08,0.1,0.0006113,-0.0057526,5.66e-05,0.0001511,0
0.08,-0.1,-0.0004656,0.0001026,5.06e-05,3.68e-05,0
0.08,0.03,0.0004001,-0.0039632,4.98e-05,0.0001397,0
0.08,-0.03,-8.2e-06,-0.0006873,4.58e-05,6.37e-05,0
0.08,0.12,0.0015104,-0.0067787,5.85e-05,0.0001204,0
0.08,-0.12,-0.0071046,0.0052021,5.89e-05,4.86e-05,0
0.08,0.21,0.0069094,-0.0073633,8.04e-05,0.0021617,0
0.08,-0.21,-0.0122311,0.0163834,7.05e-05,3.34e-05,0
0.08,0.14,0.0018275,-0.007397,6.84e-05,0.000118,0
0.08,-0.14,-0.0154829,0.0164722,7.54e-05,4.27e-05,0
-0.08,0.25,1.11e-05,-0.000299,7.8e-05,7.49e-05,0
-0.08,-0.25,0.0325959,0.008407,2.44e-05,1.96e-05,0
-0.08,0.18,-0.0002043,-0.0002754,6e-05,6.21e-05,0
-0.08,-0.18,-0.0002254,0.0003784,4.71e-05,3.49e-05,0
-0.08,0.23,-0.0004003,-0.0018952,6.53e-05,6.84e-05,0
-0.08,-0.23,0.0001696,4.78e-05,4.69e-05,1.73e-05,0
-0.08,0.01,-0.000223,3.42e-05,4.01e-05,3.9e-05,0
-0.08,-0.01,-0.0003164,7.88e-05,3.8e-05,4.06e-05,0
-0.08,0.08,-0.0032705,-0.0025386,5.28e-05,4.73e-05,0
-0.08,-0.08,-0.0002454,0.0003592,3.93e-05,5.35e-05,0
-0.08,0.16,-0.0001536,-0.0002162,5.59e-05,6.06e-05,0
-0.08,-0.16,-0.0003495,0.0003673,3.55e-05,5.02e-05,0
-0.08,0.05,-0.0160896,0.001189,6.79e-05,3.94e-05,0
-0.08,-0.05,-0.0001425,0.0001863,3.95e-05,5.28e-05,0
-0.08,0.1,-0.0001634,-0.0002271,4.12e-05,4.23e-05,0
-0.08,-0.1,-0.0149979,0.016641,5.92e-05,4.09e-05,0
-0.08,0.03,-0.0010017,8.17e-05,4.66e-05,3.86e-05,0
-0.08,-0.03,-0.000559,0.0002909,3.85e-05,4.71e-05,0
-0.08,0.12,-0.0009075,-0.0011867,5.27e-05,5.13e-05,0
-0.08,-0.12,-0.000278,0.0004006,3.24e-05,6.15e-05,0
-0.08,0.21,-0.0005158,-0.0006762,6.27e-05,6.33e-05,0
-0.08,-0.21,0.0199395,0.0163732,2.82e-05,1.57e-05,0
-0.08,0.14,-0.0002883,-0.0003182,5.61e-05,5.4e-05,0
-0.08,-0.14,-0.0003138,0.0003986,4.23e-05,5.53e-05,0
0.16,0.25,0.0392009,0.030735,0.0001589,0.0001474,0
0.16,-0.25,-0.0053039,0.004254,6.13e-05,3.62e-05,0
0.16,0.18,0.000271,-0.0047066,7.19e-05,0.0001659,0
0.16,-0.18,-0.0003781,0.0001734,5.49e-05,6.28e-05,0
0.16,0.23,0.0042769,-0.0099715,6.77e-05,0.0002079,0
0.16,-0.23,-0.0003832,0.0003932,5.98e-05,5.37e-05,0
0.16,0.01,0.0023838,0.0034531,5.29e-05,0.0005107,0
0.16,-0.01,0.0030815,0.0042625,4.66e-05,0.0004258,0
0.16,0.08,0.0027069,-0.0054457,5.68e-05,0.000181,0
0.16,-0.08,0.000273,-0.0008974,5.82e-05,0.0001482,0
0.16,0.16,0.0004385,-0.0047938,6.76e-05,0.0001612,0
0.16,-0.16,-0.0031366,0.0010614,5.59e-05,4.42e-05,0
0.16,0.05,0.0456455,-0.2516553,0.001666,0.0052303,0
